cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
35,20240101,1.0000,0.8470,0.0000,NORTH DAKOTA
36,20240101,0.8253,0.8253,0.0000,OHIO
37,20240101,0.8190,0.8190,0.0000,OKLAHOMA
38,20240101,1.0872,1.0540,0.0000,OREGON
39,20240101,0.9211,0.9189,0.0000,PENNSYLVANIA
40,20240101,0.3357,0.3357,0.3357,PUERTO RICO
41,20240101,0.0000,0.0000,1.1374,RHODE ISLAND
42,20240101,0.8451,0.8451,0.0000,SOUTH CAROLINA
43,20240101,1.0000,0.7893,0.0000,SOUTH DAKOTA
44,20240101,0.7320,0.7292,0.0000,TENNESSEE
45,20240101,0.8758,0.8746,0.0000,TEXAS
46,20240101,0.9258,0.9181,0.0000,UTAH
47,20240101,0.9439,0.9393,0.0000,VERMONT
49,20240101,0.8606,0.8542,0.0000,VIRGINIA
50,20240101,1.1175,1.1175,0.0000,WASHINGTON
51,20240101,0.7048,0.7048,0.0000,WEST VIRGINIA
52,20240101,0.9240,0.9207,0.0000,WISCONSIN
53,20240101,1.0000,0.8978,0.0000,WYOMING
98,20240101,1.9343,1.9343,0.0000,ALASKA INDIAN
99,20240101,1.4448,1.4448,0.0000,LOWER-48 INDIAN
10180,20240101,0.8913,0.8437,0.0000,Abilene TX
10380,20240101,0.2850,0.2850,0.0000,Aguadilla-Isabela PR
10420,20240101,0.7607,0.7607,0.0000,Akron OH
10500,20240101,0.8958,0.8464,0.0000,Albany GA
10540,20240101,1.0829,1.0829,0.0000,Albany-Lebanon OR
10580,20240101,0.7996,0.7996,0.0000,Albany-Schenectady-Troy NY
10740,20240101,0.8907,0.8907,0.0000,Albuquerque NM
10780,20240101,0.8724,0.8496,0.0000,Alexandria LA
10900,20240101,0.9535,0.9084,0.0000,Allentown-Bethlehem-Easton PA-NJ
11020,20240101,0.8253,0.7924,0.0000,Altoona PA
11100,20240101,0.7371,0.7371,0.0000,Amarillo TX
11180,20240101,0.8531,0.8531,0.0000,Ames IA
11244,20240101,1.1826,1.1826,0.0000,Anaheim-Santa Ana-Irvine CA
11260,20240101,1.1247,1.1247,0.0000,Anchorage AK
11460,20240101,1.0048,0.9207,0.0000,Ann Arbor MI
